chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zcr_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,label_int,label_str,binary_label,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,chroma_cqt_mean,chroma_cqt_std
0.19318247,927.3247942588662,1037.4568620286225,1879.1929362532533,0.0418345803561942,-369.80652,151.09053,-32.866142,15.76225,25.788692,-30.553553,-8.264951,-3.0430658,-30.780962,-14.160885,-11.445043,-24.750877,-8.323787,21,A minor,minor,0.2493622103019076,0.0484362934831676,-0.3775148321865793,-0.0765424932845237,0.0623547779073627,0.1070761116682668,0.2224926799535751,0.2900247275829315
0.29064834,1218.5513395338658,1029.5835044242149,2238.1277202843185,0.0780180617932293,-318.95096,184.79614,-72.51113,-2.846012,17.779148,-45.631092,-20.631008,-3.176894,-34.24672,-15.615547,-6.0272107,-24.588144,-11.252313,8,G#/Ab major,major,0.1023295531206113,0.0506190267639691,0.0027280047539351,-0.025667877472633,-0.0082404040279873,0.0100238564237866,0.3895945250988006,0.2823846936225891
0.31258267,1542.15924246645,947.0943704755704,2656.2573616451805,0.1324030147524295,-310.16385,197.74162,-116.262314,-15.371613,22.784693,-61.62016,-10.397407,4.7188516,-46.057377,-5.2109003,10.382863,-29.379593,-9.475649,5,F major,major,0.0314584806653467,0.0372658373597134,-0.0257657014634272,0.0056400300282892,-0.0249434916639512,0.0062100172058844,0.4926646053791046,0.2633087337017059
0.30202574,2140.650512162917,2390.452253087612,4463.778455432645,0.0941873053399916,-104.646324,97.025055,-5.7382226,6.657701,3.5128973,5.878133,-1.6732806,3.0090063,3.1571062,6.2049394,0.8030119,6.274142,-3.9717104,2,D major,major,0.3700284223388758,0.0751319616314198,-0.1071653466361697,-0.2188648696060959,-0.0712432244326945,-0.0026170961900282,0.2474565804004669,0.2855385541915893
0.37719098,2282.2092113043054,2275.2127951736074,4549.253667394778,0.1131100179448794,-28.240097,95.18188,-27.143726,11.511613,-10.806025,3.523846,-2.033946,2.9933197,-5.1486845,8.394785,-7.5303326,-0.5684105,-5.4605355,12,C minor,minor,0.0159162959797259,0.1618815285470381,0.0336473684259858,0.1156420886755238,0.0017407003077395,0.0416159287841771,0.4285233616828918,0.25807586312294
0.36135447,1815.793102650018,2157.844664298598,3546.948262515612,0.0718282995507216,-153.1994,109.41235,3.4199317,16.222017,4.8573422,-1.6650797,0.9883852,3.8620453,-2.2910504,5.3104467,-1.4973428,1.3782929,-1.59537,0,C major,major,-0.0017678273166924,-0.0126507117933634,-0.0225023395788728,0.0382157920033062,-0.0074829819576611,-0.0105449981145329,0.5830063819885254,0.2350905388593673
0.29721087,1506.1375950218687,1875.4824245901048,3073.3746062368496,0.0622147022841749,-160.98032,122.908325,-12.380387,13.208423,1.567039,13.355424,5.669195,-4.288072,-15.469813,-4.8219614,-9.368105,-5.6621466,-11.679107,2,D major,major,0.4805806802575404,0.0272507473806438,-0.2907660439997019,-0.328774541337562,-0.1127244763897738,0.0865727188065648,0.2329542487859726,0.2978478372097015
0.2915201,1463.4615713206815,1969.3052204318697,3047.219028128321,0.0633601222104144,-160.54012,121.60885,7.491587,23.811766,1.7014513,10.122372,-2.7726233,-1.45292,-3.7250144,1.2625115,-6.1235204,-5.387408,-9.491813,19,G minor,minor,0.2993383089366482,0.3067071004323873,0.1829102237258338,-0.2534260234787728,-0.0078666544217148,-0.1013805899702482,0.2456381618976593,0.2856441438198089
0.2252119,1024.3994875753615,818.9640887016758,1618.267146895957,0.0647125677069899,-260.60028,159.26793,-52.032818,-57.04281,-13.819885,-31.384918,-37.701256,-18.347519,-11.135222,-19.38936,-17.837942,-4.3897753,-8.89421,9,A major,major,0.1350082121927112,-0.1471269045499897,-0.0523800793105603,0.0686642147826347,-0.0021537005932514,-0.0067516260858436,0.3375279605388641,0.2964497208595276
0.2925383,1513.5223183624946,1052.5044898286917,2440.47382683154,0.1011973614466481,-328.0495,127.48476,-90.57943,-22.483799,-3.1343484,-28.892118,-23.900805,-22.793135,-9.79368,-10.520858,-11.080092,-7.212911,-20.814688,11,B major,major,-0.0487127429471992,-0.1063774706176885,0.0163457838121451,-0.1607150391925442,-0.0013409413962306,0.0292520011576738,0.4289658069610595,0.2928192913532257
0.23854533,1611.7568827882444,978.3444525532382,2456.1822444669724,0.1189879286162074,-248.31964,116.406296,-99.24054,-20.529633,2.8603623,-28.520775,-13.584485,-6.810005,-15.821596,-4.0860744,-7.8594484,-6.799863,12.9919615,8,G#/Ab major,major,-0.0541109944626914,0.0865133562050587,0.1537535538336568,0.1199084711922617,-0.0122542197352527,0.0502879862165979,0.3162136375904083,0.290366381406784
0.32295382,1716.035057759566,2167.235317643083,3670.2826468124135,0.0704094084877255,-190.71494,104.25016,-5.4697137,25.330606,4.9684076,14.168666,-0.47473714,7.8982344,-5.801807,-1.0462874,-13.177423,-1.1201434,-3.3746219,0,C major,major,0.1483923137010121,-0.0040517036960544,0.0096848363060236,0.1765635180907079,-0.030220153463333,0.0016466103141354,0.3787134289741516,0.2847194671630859
0.31978735,2343.523060348072,2653.925912171088,5262.220844062599,0.0876718985067831,-56.392296,88.80841,13.444851,21.053772,4.3655596,5.87921,6.050539,2.206812,-2.7845104,3.8947697,-5.7337537,3.151621,-5.4095554,4,E major,major,0.153721457361966,-0.1317593998894162,0.0925203022752872,0.1503746234561068,0.0101978405712169,0.0034197583337795,0.2668614387512207,0.2801769971847534
0.2382598,1326.6605112859536,1854.3576463487875,2618.964749605207,0.0468012019685163,-219.0107,119.28885,4.46517,28.53214,8.302598,3.8091862,-3.273563,-10.001308,-9.540641,-4.3500233,-12.066653,-9.044078,-11.605086,16,E minor,minor,0.3160316561953916,0.1015307170633064,0.3025071858573261,0.2128668975665691,0.0551856613674231,-0.0492102732060294,0.230703666806221,0.3000658750534057
0.3457281,1550.5473008186682,1978.717093974392,3186.728625207953,0.0634249565745694,-112.84463,142.5597,6.989205,14.380627,13.022738,0.7525691,-2.109983,4.2822614,-7.1669645,-0.40582728,-0.46409523,-0.25444677,-5.3237123,16,E minor,minor,0.3586808939460741,-0.0526905691793333,0.1632074545489531,0.1137721345741768,0.0746197202895033,-0.0902878014025336,0.323339968919754,0.3085294961929321
